frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
90,81,[331.0 451.0 552.0 627.0],[408.5047 562.322 476.3688 591.094],0.5727806687355042,GX15OGJ,0.1697944346025057
116,113,[686.0 384.0 857.0 532.0],[739.4623 474.8503 811.4286 504.1196],0.46269139647483826,AP05JEO,0.24029019561632894
117,113,[686.25 385.0 857.0 533.75],[740.9677 475.9738 811.5513 505.8942],0,0,0
118,113,[686.5 386.0 857.0 535.5],[742.4731 477.0973 811.674 507.6688],0,0,0
119,113,[686.75 387.0 857.0 537.25],[743.9786 478.2208 811.7966 509.4433],0,0,0
120,113,[687.0 388.0 857.0 539.0],[745.484 479.3442 811.9193 511.2179],0.43555590510368347,AF05JTO,0.11194368370752415
121,113,[687.3333 389.3333 858.6667 541.0],[745.1007 482.5791 811.9347 513.737],0,0,0
122,113,[687.6667 390.6667 860.3333 543.0],[744.7175 485.814 811.9502 516.2561],0,0,0
123,113,[688.0 392.0 862.0 545.0],[744.3342 489.0488 811.9656 518.7751],0.3147590458393097,JF05JEQ,0.28224753102734823
124,113,[688.0 392.0 860.0 545.0],[743.1576 488.3572 807.11 516.9414],0.35857629776000977,KP05JED,0.15312193775102553
125,113,[688.0 393.2 860.7333 546.6667],[743.3028 489.7011 807.4549 518.1592],0,0,0
126,113,[688.0 394.4 861.4667 548.3333],[743.4481 491.0451 807.7999 519.377],0,0,0
127,113,[688.0 395.6 862.2 550.0],[743.5933 492.389 808.1448 520.5948],0,0,0
128,113,[688.0 396.8 862.9333 551.6667],[743.7385 493.7329 808.4897 521.8125],0,0,0
129,113,[688.0 398.0 863.6667 553.3333],[743.8837 495.0769 808.8347 523.0303],0,0,0
130,113,[688.0 399.2 864.4 555.0],[744.029 496.4208 809.1796 524.2481],0,0,0
131,113,[688.0 400.4 865.1333 556.6667],[744.1742 497.7647 809.5246 525.4659],0,0,0
132,113,[688.0 401.6 865.8667 558.3333],[744.3194 499.1087 809.8695 526.6837],0,0,0
133,113,[688.0 402.8 866.6 560.0],[744.4647 500.4526 810.2144 527.9014],0,0,0
134,113,[688.0 404.0 867.3333 561.6667],[744.6099 501.7965 810.5594 529.1192],0,0,0
135,113,[688.0 405.2 868.0667 563.3333],[744.7551 503.1405 810.9043 530.337],0,0,0
136,113,[688.0 406.4 868.8 565.0],[744.9004 504.4844 811.2492 531.5548],0,0,0
137,98,[367.0 374.0 531.0 520.0],[416.5149 457.3196 476.7122 487.0723],0.32427582144737244,TC05ZZE,0.08836693858140027
