frame_nmr,car_id,car_bbox,license_plate_bbox,license_plate_bbox_score,license_number,license_number_score
90,81,[331 451 552 627],[408.50469970703125 562.322021484375 476.3687744140625 591.093994140625],0.5727806687355042,GX15OGJ,0.1697944346025057
116,113,[686 384 857 532],[739.4622802734375 474.850341796875 811.4285888671875 504.11962890625],0.46269139647483826,AP05JEO,0.24029019561632894
120,113,[687 388 857 539],[745.4840087890625 479.34423828125 811.9193115234375 511.2178955078125],0.43555590510368347,AF05JTO,0.11194368370752415
123,113,[688 392 862 545],[744.334228515625 489.048828125 811.965576171875 518.775146484375],0.3147590458393097,JF05JEQ,0.28224753102734823
124,113,[688 392 860 545],[743.1575927734375 488.357177734375 807.1099853515625 516.94140625],0.35857629776000977,KP05JED,0.15312193775102553
137,98,[367 374 531 520],[416.5148620605469 457.319580078125 476.7122497558594 487.072265625],0.32427582144737244,TC05ZZE,0.08836693858140027
139,113,[688 410 871 570],[745.3360595703125 508.5162353515625 812.2840576171875 535.2081298828125],0.524016261100769,AP05JED,0.5798457412538056
140,113,[690 412 871 572],[756.3328857421875 513.6114501953125 823.2645263671875 538.5775146484375],0.3982226848602295,AP05JEQ,0.2691473773665506
154,113,[693 431 883 600],[754.720703125 533.7174682617188 830.246826171875 566.8991088867188],0.4124404489994049,AP05JEQ,0.1920526930439726
155,113,[694 433 886 602],[754.496337890625 535.17919921875 820.436767578125 565.299072265625],0.43614938855171204,IP05JED,0.3793467099111012
157,113,[691 435 886 605],[764.7595825195312 540.5836181640625 836.0888061523438 567.35888671875],0.35635825991630554,IP05JED,0.14368115398804462
417,436,[772 312 1002 635],[861.0162353515625 551.0298461914062 921.2381591796875 581.5861206054688],0.6114801168441772,EL55USJ,0.2405929877233051
443,464,[771 342 1017 692],[864.40283203125 607.201416015625 930.760498046875 638.276123046875],0.6662470102310181,HG65USJ,0.19084504387462353
484,437,[283 503 477 652],[344.91290283203125 606.9066162109375 408.52850341796875 635.9105224609375],0.27969589829444885,NI51RDJ,0.05449817073876364
643,675,[749 446 941 616],[816.825439453125 560.193603515625 878.8134765625 585.938232421875],0.3345155715942383,DF55JEK,0.06965025730302786
648,675,[743 454 956 626],[816.4675903320312 566.7347412109375 875.9758911132812 598.4083251953125],0.3541424572467804,AF65JKY,0.5181375232409439
650,675,[742 456 956 628],[817.38916015625 571.21533203125 880.1448974609375 599.398681640625],0.39266929030418396,JT65JKV,0.048218394367162576
700,593,[758 366 908 505],[809.701904296875 452.22406005859375 859.1685791015625 478.25396728515625],0.5283981561660767,TG30BER,0.11091569110861842
711,593,[760 375 914 518],[813.6954345703125 463.5743408203125 864.9464111328125 491.5224609375],0.5625227093696594,IJ06EPD,0.23452963365866708
757,593,[771 420 941 583],[828.1610107421875 521.8035888671875 886.905029296875 551.128662109375],0.558976948261261,GJ06EPO,0.07248006406046148
772,593,[771 439 949 604],[834.2520751953125 544.45751953125 891.4193115234375 574.130126953125],0.6516294479370117,IJ06EPO,0.04232774474343736
782,593,[772 454 953 625],[837.2745361328125 561.0260620117188 894.2763671875 590.0551147460938],0.6388111114501953,GJ06EFD,0.06638555529781673
