epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.1794,1.18489,2.13477,1.57609,0.40164,0.51524,0.38228,0.14579,2.32161,2.67969,2.44584,0.000665266,0.000665266,0.000665266
2,149.855,1.04968,0.97234,1.44552,0.43073,0.44512,0.33046,0.14964,2.21495,2.54639,2.35017,0.00130556,0.00130556,0.00130556
3,222.523,1.02874,0.701,1.40836,0.43323,0.53049,0.41898,0.1664,2.22297,2.61066,2.39082,0.00191945,0.00191945,0.00191945
4,295.474,1.01738,0.60571,1.3909,0.40381,0.55488,0.41663,0.19808,2.1563,2.43313,2.19236,0.0018812,0.0018812,0.0018812
5,374.143,0.99265,0.56196,1.37687,0.60929,0.49447,0.48543,0.21076,2.47762,2.28128,2.42396,0.0018416,0.0018416,0.0018416
6,20256.6,0.97066,0.52078,1.33687,0.50762,0.57317,0.41126,0.16798,2.4181,2.27791,2.60563,0.001802,0.001802,0.001802
7,20339.7,0.97215,0.50901,1.33487,0.59728,0.50191,0.53507,0.21268,2.34439,2.27049,2.51593,0.0017624,0.0017624,0.0017624
8,20422.1,0.95364,0.48989,1.2984,0.72278,0.53963,0.58053,0.27188,2.1718,2.0787,2.3303,0.0017228,0.0017228,0.0017228
9,20503.1,0.95655,0.4936,1.31697,0.58557,0.52134,0.49234,0.18995,2.47713,2.48765,2.99315,0.0016832,0.0016832,0.0016832
10,20577.6,0.95998,0.48932,1.3029,0.48708,0.48171,0.42238,0.18471,2.52426,2.48071,2.79749,0.0016436,0.0016436,0.0016436
11,20663,0.93908,0.48359,1.28587,0.62093,0.57622,0.55874,0.26521,2.22999,2.11732,2.35038,0.001604,0.001604,0.001604
12,20750,0.93141,0.46628,1.28894,0.67716,0.58841,0.57239,0.26936,2.25048,1.85045,2.76828,0.0015644,0.0015644,0.0015644
13,20831.9,0.92158,0.45718,1.27103,0.60777,0.57012,0.54593,0.25305,2.30603,2.16902,2.86277,0.0015248,0.0015248,0.0015248
14,20912.1,0.91741,0.46163,1.27243,0.69456,0.6189,0.58326,0.2978,2.09045,2.13656,2.26602,0.0014852,0.0014852,0.0014852
15,20989.8,0.91125,0.45359,1.27165,0.66674,0.58841,0.57814,0.27294,2.19572,2.02012,2.43145,0.0014456,0.0014456,0.0014456
16,21067.8,0.90044,0.45569,1.26834,0.61429,0.58841,0.59777,0.27452,2.2274,2.6068,2.34074,0.001406,0.001406,0.001406
17,21149,0.9226,0.44408,1.25998,0.63755,0.56847,0.57554,0.27509,2.2259,2.34574,2.54078,0.0013664,0.0013664,0.0013664
18,21231.7,0.89732,0.44781,1.24941,0.61228,0.54878,0.51778,0.22199,2.46213,2.36512,2.76811,0.0013268,0.0013268,0.0013268
19,21314,0.8768,0.4357,1.22898,0.64855,0.60671,0.61974,0.31101,2.07575,2.08276,2.20692,0.0012872,0.0012872,0.0012872
20,21399.6,0.87636,0.43284,1.23229,0.77541,0.55787,0.6308,0.31558,1.98439,1.96274,2.20885,0.0012476,0.0012476,0.0012476
21,21488.3,0.87442,0.43009,1.22986,0.57478,0.55488,0.52352,0.24507,2.24131,2.13477,2.57024,0.001208,0.001208,0.001208
22,21572.6,0.8756,0.42928,1.2383,0.68433,0.60366,0.58995,0.28896,2.10256,1.97822,2.54321,0.0011684,0.0011684,0.0011684
23,21649.5,0.86276,0.41664,1.22624,0.73911,0.60462,0.6563,0.31623,2.12742,1.72894,2.45502,0.0011288,0.0011288,0.0011288
24,21738.3,0.8539,0.4216,1.23672,0.77331,0.625,0.67401,0.33921,2.05807,1.61138,2.12557,0.0010892,0.0010892,0.0010892
25,21834.7,0.87164,0.41532,1.21459,0.79869,0.64634,0.67431,0.33283,2.07482,1.56516,2.38328,0.0010496,0.0010496,0.0010496
